,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
124,2004 XL14,Aten Asteroid (Hazard),57800.0,0.7596,0.4103,21.4624,157.5639,85.6277,353.9865,0.4479,1.07,0.66,0.0277,52.0,21.2,1902-Dec-18 09:44 ±    00:07,0.0452,0.04513,13.05,13.05,21.4,0.31,1.0,True
126,2010 WZ8,Apollo Asteroid (Hazard),57800.0,1.9729,0.5026,3.7079,200.2091,284.3388,71.0541,0.9812,2.96,2.77,0.0103,31.0,20.7,1903-Jan-13 10:55 ± < 00:01,0.00903,0.00903,7.23,7.19,20.8,0.41,2.0,True
128,1999 AQ10,Aten Asteroid (Hazard),57800.0,0.9341,0.2356,6.498,300.5344,327.1287,216.6971,0.714,1.15,0.9,0.006,91.0,20.4,1903-Feb-18 08:16 ± < 00:01,0.01101,0.011,7.67,7.64,20.5,0.47,2.0,True
136,2007 VG,Apollo Asteroid (Hazard),57800.0,1.956,0.6646,51.1515,261.5789,33.4211,166.9515,0.656,3.26,2.74,0.0082,14.0,21.0,1903-Apr-24 15:01 ±    00:22,0.00808,0.00787,32.47,32.46,21.1,0.36,2.0,True
138,2008 HS3,Amor Asteroid (Hazard),57800.0,1.351,0.2259,8.1775,4.639,227.8065,207.7554,1.0458,1.66,1.57,0.0366,66.0,21.7,1903-May-07 15:45 ± < 00:01,0.04236,0.04236,5.37,5.36,21.6,0.29,1.0,True
141,2004 FJ11,Apollo Asteroid (Hazard),57800.0,2.2488,0.5619,2.3898,232.4691,20.9389,274.1179,0.9853,3.51,3.37,0.0212,30.0,21.0,1903-Jun-16 14:55 ±    00:01,0.04667,0.04667,8.49,8.49,21.0,0.37,1.0,True
147,2006 QQ23,Aten Asteroid (Hazard),57800.0,0.8036,0.2846,3.4383,124.7811,4.8976,32.7873,0.5749,1.03,0.72,0.0333,13.0,20.1,1903-Aug-20 18:28 ±    04:42,0.043,0.04279,4.92,4.9,20.0,0.59,1.0,True
148,2013 QJ10,Aten Asteroid (Hazard),57800.0,0.9596,0.4253,18.1487,243.7933,327.4855,334.2351,0.5515,1.37,0.94,0.0237,75.0,19.6,1903-Aug-23 05:31 ±    00:02,0.04796,0.04792,14.74,14.73,19.6,0.71,1.0,True
151,2012 QG42,Apollo Asteroid (Hazard),57800.0,1.0258,0.3744,6.8132,116.1045,344.8903,25.9554,0.6417,1.41,1.04,0.014,55.0,20.9,1903-Sep-14 18:16 ± < 00:01,0.02196,0.02196,10.9,10.89,20.9,0.39,2.0,True
152,2000 HA24,Apollo Asteroid (Hazard),57800.0,1.1398,0.3188,2.1691,142.0394,309.58,29.1571,0.7764,1.5,1.22,0.0273,63.0,19.1,1903-Sep-25 08:45 ±    00:01,0.04626,0.04624,9.93,9.93,19.4,0.8,1.0,True
154,2001 KZ66,Apollo Asteroid (Hazard),57800.0,1.5073,0.4168,16.6936,140.2331,219.3993,82.7255,0.879,2.14,1.85,0.0381,183.0,16.9,1903-Nov-07 17:38 ±    00:02,0.03707,0.03707,13.41,13.41,16.9,0.944,2.0,True
155,2005 GL,Apollo Asteroid (Hazard),57800.0,1.0561,0.3062,15.898,265.3172,43.6576,256.0554,0.7327,1.38,1.09,0.0057,12.0,21.2,1903-Nov-08 11:01 ±    00:35,0.0291,0.0285,13.41,13.41,21.3,0.33,1.0,True
156,2006 LD1,Apollo Asteroid (Hazard),53894.0,2.327,0.6978,5.9561,274.549,66.8976,345.1843,0.7032,3.95,3.55,0.0225,9.0,20.9,1903-Nov-15 00:59 ±    00:31,0.04073,0.04063,18.58,18.58,20.9,0.39,1.0,True
157,2010 UK8,Apollo Asteroid (Hazard),57800.0,2.1848,0.7004,1.8685,135.4412,11.5422,314.375,0.6545,3.72,3.23,0.0198,23.0,19.9,1903-Nov-30 05:18 ±    00:06,0.02959,0.02956,18.66,18.65,19.9,0.62,2.0,True
158,2006 UQ17,Apollo Asteroid (Hazard),57800.0,1.6237,0.3808,1.7437,10.2924,82.1119,324.9939,1.0054,2.24,2.07,0.0228,84.0,21.9,1903-Dec-11 03:19 ±    23:40,0.02911,0.02763,5.04,5.03,21.9,0.25,1.0,True
165,2016 NG33,Apollo Asteroid (Hazard),57800.0,1.0374,0.095,29.923,39.2672,136.7664,315.7231,0.9388,1.14,1.06,0.0282,17.0,21.5,1904-Feb-06 22:56 ±    00:06,0.04064,0.04057,16.03,16.03,21.5,0.3,1.0,True
166,2008 AH33,Apollo Asteroid (Hazard),57800.0,2.1032,0.5479,36.7758,176.9012,335.8933,348.5053,0.9508,3.26,3.05,0.0385,16.0,19.5,1904-Feb-23 06:32 ±    00:01,0.04828,0.04828,22.68,22.68,19.5,0.75,1.0,True
169,2003 CR20,Apollo Asteroid (Hazard),57800.0,2.1251,0.7296,4.9892,88.7254,177.1625,158.867,0.5746,3.68,3.1,0.0008,59.0,18.7,1904-Mar-12 12:59 ± < 00:01,0.04909,0.04908,23.73,23.73,18.9,0.97,1.0,True
170,2001 SQ3,Apollo Asteroid (Hazard),57800.0,1.1102,0.2545,23.8973,268.1824,356.179,128.9177,0.8277,1.39,1.17,0.0291,11.0,21.6,1904-Mar-17 21:27 ± < 00:01,0.03083,0.03083,14.91,14.9,21.6,0.28,1.0,True
171,2002 DU3,Apollo Asteroid (Hazard),57800.0,1.1454,0.2382,8.7013,245.4879,0.697,10.9638,0.8726,1.42,1.23,0.0075,33.0,20.7,1904-Mar-19 21:50 ± < 00:01,0.01934,0.01933,7.94,7.92,20.8,0.41,2.0,True
175,2009 KK,Apollo Asteroid (Hazard),57800.0,1.5023,0.4551,18.217,247.3395,68.1599,36.5136,0.8185,2.19,1.84,0.0,27.0,20.5,1904-May-26 15:03 ± < 00:01,0.03765,0.03764,16.33,16.32,20.6,0.46,1.0,True
176,2009 DL46,Apollo Asteroid (Hazard),57800.0,1.4609,0.3072,7.9161,160.2839,63.4081,159.1238,1.0121,1.91,1.77,0.0123,67.0,22.0,1904-May-26 20:31 ±    00:03,0.02533,0.02532,6.68,6.66,22.0,0.24,1.0,True
181,2010 PK9,Aten Asteroid (Hazard),57800.0,0.6823,0.6757,12.5658,195.6158,306.5747,356.0668,0.2212,1.14,0.56,0.0163,17.0,21.8,1904-Jul-26 08:05 ±    00:01,0.04267,0.04265,15.85,15.84,21.8,0.151,1.0,True
182,2014 PG51,Apollo Asteroid (Hazard),57800.0,1.2056,0.4527,3.7925,294.0359,275.8408,27.3485,0.6598,1.75,1.32,0.0229,18.0,20.6,1904-Jul-26 22:04 ±    00:01,0.04445,0.04444,13.14,13.13,20.7,0.44,1.0,True
186,2013 RZ73,Apollo Asteroid (Hazard),57800.0,1.3686,0.5339,25.1239,262.3093,355.6013,89.7054,0.6379,2.1,1.6,0.0292,20.0,20.9,1904-Sep-15 06:04 ± < 00:01,0.03465,0.03465,20.84,20.84,21.0,0.38,1.0,True
188,1998 SH36,Apollo Asteroid (Hazard),57800.0,1.088,0.5709,2.1316,278.7226,217.9402,7.4455,0.4669,1.71,1.13,0.012,45.0,20.6,1904-Oct-09 12:24 ± < 00:01,0.04978,0.04977,19.08,19.08,20.7,0.43,1.0,True
189,2003 SS84,Apollo Asteroid (Hazard),57800.0,1.9309,0.5706,5.4955,234.6451,198.342,337.3273,0.8292,3.03,2.68,0.0049,37.0,21.8,1904-Oct-10 11:32 ±    00:01,0.02942,0.02942,12.41,12.4,21.8,0.26,1.0,True
