Object Name,CA DistanceNominal (au)
2007 LU19,0.00763
2001 QC34,0.0454
2008 AX1,0.04681
1998 HD14,0.03897
2010 KQ10,0.0429
2016 CW193,0.01151
2012 NN,0.04778
2001 SG286,0.0073
2013 JR28,0.03485
2003 GR22,0.03924
2013 RH74,0.04479
2007 VZ137,0.0391
2009 BE58,0.02585
2015 YU7,0.03918
2012 BS23,0.0292
2011 DU,0.0492
2004 HC39,0.03438
2017 AE3,0.02468
2012 VL6,0.03515
2000 CM33,0.04615
1998 QP,0.01093
2001 TA2,0.03712
2011 EO40,0.04716
2014 EG45,0.00826
2002 JE9,0.00176
1990 OS,0.03106
2016 AA10,0.04259
2013 FW13,0.02724
2013 XW3,0.04251
2009 XZ1,0.04066
2000 LF3,0.0069
2002 PF43,0.0394
2004 XL14,0.0452
2012 UR138,0.02729
2000 EW70,0.02107
2005 GY8,0.0177
2009 UQ,0.02846
2006 QQ23,0.043
2010 WV8,0.03642
2010 RF181,0.02094
2010 MF1,0.02851
2010 XP69,0.01904
2001 SQ3,0.03083
2012 MJ6,0.03668
2003 BR47,0.01788
2002 UK11,0.02896
2014 CU13,0.04831
2017 BS31,0.0412
2003 MS2,0.02501
2011 AM24,0.02664
2008 XN,0.04594
2014 AF51,0.03145
2016 UZ25,0.03779
2001 XR30,0.0357
2009 FE,0.0371
2009 JR,0.04708
2009 OF,0.04454
2014 NB52,0.04573
2009 SN,0.04562
2008 PK3,0.00588
2002 LT38,0.04932
2008 TC4,0.0449
2001 VB76,0.04325
2003 MH4,0.01416
2012 BB124,0.03993
2011 JD1,0.04812
2002 DU3,0.01934
2008 JV19,0.04018
2015 NK13,0.03729
2004 XO,0.03224
2015 DG200,0.00953
2008 SY148,0.04371
2000 KA,0.0484
2003 BB21,0.02787
2013 WR67,0.04972
2016 QE45,0.01785
2004 TB10,0.01301
2014 YQ15,0.00936
2014 VL6,0.04672
2005 WA1,0.03206
1999 FA,0.01124
2008 KV2,0.04164
2017 AY13,0.01658
2006 HQ30,0.03834
2003 YX1,0.0239
2011 TK,0.04105
2015 BK515,0.04912
2005 WD,0.03481
2007 DS84,0.04684
1999 FR19,0.04325
2000 RW37,0.04632
2003 CC,0.04921
2007 EF,0.03877
2009 DR3,0.02223
2003 RB,0.04672
2013 UX,0.04301
2012 XD112,0.01915
2002 AW,0.02655
2002 CQ11,0.01897
2004 FJ11,0.04667
1994 UG,0.03969
2010 WZ8,0.00903
2016 NQ32,0.03864
2008 HB38,0.01609
2007 TH1,0.02407
2007 VK184,0.013
2015 AY245,0.0405
2005 EE,0.02813
2015 UK52,0.04743
2000 GE2,0.02474
2012 DK31,0.0284
2006 UO,0.04722
2017 BQ6,0.03815
2007 JH22,0.04611
